Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Тип;Модель;Стандарт;"Операционная система";"Материал корпуса";Вес;"Тип экрана";Диагональ;"Размер изображения";"Тип сенсорного экрана";Цветов;"Автоматический поворот экрана";"Тип мелодий";Виброзвонок;Фотокамера;"Макс. частота кадров видео";"Запись видеороликов";"Воспроизведение видео";Аудио;Игры;Java-приложения;"Разъем для наушников";Интерфейсы;"Зарядка от USB";FM-radio;Диктофон;"Встроенный GPS-приемник";"Синхронизация с компьютером";"Использование в качестве USB-накопителя";"Объем встроенной памяти";"Доступ в интернет";"Тип аккумулятора";"Емкость аккумулятора";"Cистема A-GPS";MMS;"Время разговора";"Время ожидания";"Громкая связь (встроенный динамик)";"Режим полета";"Обмен между SIM-картой и внутренней памятью";Органайзер;Комплектация;"Дата анонсирования (г-м-д)";Русификация;Распознавание;"Макс. разрешение видео";"Geo Tagging";Датчики;Видеовыход;Модем;"Поиск по книжке";"Фронтальная камера";"Время работы в режиме прослушивания музыки";"Задняя камера";Особенности;"Поддержка DLNA";"Объем оперативной памяти (RAM)";"Объем постоянной памяти (ROM)";Управление;Автодозвон;"Дополнительные функции SMS";"Профиль A2DP";"Режимы кодирования звука HR, FR, EFR";QWERTY-клавиатура;VoIP-клиент;Push-To-Talk;"Записная книжка в аппарате";Уборка;"Потребляемая мощность";Пылесборник;"Регулятор мощности";"Фильтр тонкой очистки";"Источник питания";"Уровень шума";"Длина сетевого шнура";"Функции и возможности";"Размеры пылесоса (ШxГxВ)";"Дополнительная информация";"Труба всасывания";"Возможность подключения электрощетки";"Дополнительные насадки в комплекте";"Турбощетка в комплекте";"Мощность всасывания";"Электрощетка в комплекте";Чаша;Мощность;"Число скоростей";"Дополнительные режимы";"Количество насадок";Насадки;"Кнопка отсоединения насадок";"Защитная крышка на чашу";"Прорезиненная ручка";"Приспособление для хранения насадок";"Общее число пикселов";"Число эффективных пикселов";"Физический размер";Кроп-фактор;"Тип матрицы";Чувствительность;"Баланс белого";Вспышка;Макросъёмка;Таймер;"Время работы таймера";"Формат кадра (фотосъемка)";"Фокусное расстояние (35 мм эквивалент)";"Оптический Zoom";Диафрагма;Видоискатель;ЖК-экран;"Тип ЖК-экрана";"Ручная настройка выдержки и диафрагмы";"Экспокоррекция ";"Минимальное расстояние съемки";"Тип карт памяти";"Форматы изображения";"Формат аккумуляторов";"Количество аккумуляторов";"Запись видео";"Формат записи видео";"Максимальное разрешение роликов";"Цифровой Zoom";"Дополнительные возможности";"Дата анонсирования";"Дата начала продаж";Размер;"Стабилизатор изображения (фотосъемка)";"Режим серийной съемки";"Подсветка автофокуса";"Фокусировка по лицу";"Разъем питания";"Запись звука";"Название объектива";"Максимальная частота кадров видеоролика";"Максимальная частота кадров при съемке HD-видео";"Электронная стабилизация при видеосъемке";"Скорость съемки";"Число оптических элементов";"Число групп оптических элементов";Выдержка;"Замер экспозиции";"Автоматическая обработка экспозиции";Процессор;"GPU \ видео ускорение";"Уровень SAR";Дисплей;Разрешение;"Оперативная память";Флэш-память;"Встроенная камера";Клавиатура;"Установленные приложения";"Встроенные порты";"Формат видео";"Чтение текста";"Встроенная литиевая батарея";"Время непрерывной работы";Skype;Языки;3G;Ebook;Bluetooth;"Порты расширения";"Видео форматы";Multi-Touch;G-сенсор;"Аудио формат";"Формат изображения";"Углы обзора";"Разъем наушников";"Размеры (ШxВxТ)";Размеры;"Mobile Tracker";"Поддержка двух SIM-карт";Wi-FI;Другое;"В копмлекте"
"Мобильные телефоны/Сотовые";"i9300 Dual Band Phone";2300.00;i9300-dual-band-phone;1;;;;;;;"i9300 Dual Band Phone";"i9300 Dual Band Phone, Мобильные, Смартфоны";;;;"sku35226.jpg, asdasqw.jpg, 2d23d.jpg, sku35226_10_2.jpg";;i9300;"GSM 900/1800MHz";;Пластик;"130 гр";TFT;"4.1 дюйма";"176 x 220 пикселя";;"260 тыс.";;полифония/MP3;;"0.3 мегапикселя";;;;MP3/WAV/AMR/AWB;;Есть;;;;Есть;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;294.5K;;;;;;;;;;Есть;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MTK6225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мобильные телефоны/Смартфоны";"X26i Smart Phone черный";5771.00;x26i-smart-phone-chernyj;1;;;;;;;"X26i Smart Phone черный";"X26i Smart Phone, Мобильные телефоны";"Стильный смартфон на базе Google Android 4.0 с 3G GPS и WIFI";"<p>Стильный смартфон на базе Google Android 4.0 с 3G GPS и WIFI</p>";"<p>Стильный смартфон на базе Google Android 4.0 с 3G GPS и WIFI</p>";"sku33179 (1).jpg, sku33179_3_3 (1).jpg, sku33179_7_5 (1).jpg, sku33179_2_1 (1).jpg";;X26i;"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 4";Пластик;400гр;;"4.0 дюйма";"480 x 800 пикселя";TFT;"260 тыс.";Есть;полифония/MP3;Есть;;;;3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;Есть;;Есть;;;;;;;;;;;Есть;;;;;;;;;;;;;;"0,3 мегапикселя";;"8,0 мегапикселя";;;512MB;4GB;;;SMS/MMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Есть;"802.11 b/g";;
Гаджеты;"Тач скрины цветные";450.00;tach-skriny-tsvetnye;1;;;;;;;"Тач скрины цветные";"Тач скрины цветные, Гаджеты";"Набор цветных тач скринов , для планшетов и смартфонов, в комплекте 8 штук.";"<p>Набор цветных тач скринов , для планшетов и смартфонов, в комплекте 8 штук.</p>";"<p><span>Набор цветных тач скринов , для планшетов и смартфонов, в комплекте 8 штук.</span></p>";sku26353_6.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Гаджеты;"Безлопастной usb мини вентилятор";800.00;bezlopastnoj-usb-mini-ventilyator;1;;;;;;;"Безлопастной usb мини вентилятор";"Безлопастной usb мини вентилятор, Гаджеты";;;;"sku33022.jpg, sku33022_3_1.jpg, sku33022_7_1.jpg, sku33022_2.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Гаджеты;"Квадрат будильник";680.00;kvadrat-budilnik;1;;;;720.00;;;"Квадрат будильник";"Квадрат будильник, Гаджеты";;;;image_1921_1_2815.jpg;"Led будильник с показаниями температуры воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Гаджеты;"Проэкторный будильник";700.00;proektornyj-budilnik;1;;;;;;;"Проэкторный будильник";"Проэкторный будильник, Гаджеты";;;;"sku12686.jpg, sku12686-1.jpg, sku12686-2.jpg, sku12686_6_.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Планшеты, нетбуки/Android";"HYUNDAI A7HD Tablet PC";5300.00;hyundai-a7hd-tablet-pc;1;;;;5440.00;;;"HYUNDAI A7HD Tablet PC";"HYUNDAI A7HD Tablet PC, Android";;;;sku20377-1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мобильные телефоны/Смартфоны";"One X Smart Phone Android 4.0 MTK6575 3g черный";6720.00;one-x-smart-phone-android-40-mtk6575-3g-chernyj;1;;;;;;;"One X Smart Phone Android 4.0 MTK6575 3g черный";"One X Smart Phone Android 4.0 MTK6575 3g black, Мобильные телефоны";;;;"sku35188_14.jpg, sku35188_2.jpg, sku35188_4.jpg";"One X";;"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 4";Пластик;450гр;;"4.7 дюйма";"854 x 480 пикселя";TFT;;Есть;полифония/MP3;Есть;"3264 x 2448 пикселей";;"720p HD";3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;;;Есть;;;;;;;"Есть, голосовая навигация";;;;;;;;;;;;;;;;;;"0,3 мегапикселя";;"8,0 мегапикселя";;;512MB;4GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, Cortex A9, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"802.11 b/g/n";;
"Мобильные телефоны/Смартфоны";"One X Smart Phone Android 4.0 MTK6575 3g белый";6720.00;one-x-smart-phone-android-40-mtk6575-3g-belyj;1;;;;;;;"One X Smart Phone Android 4.0 MTK6575 3g белый";"One X Smart Phone Android 4.0 MTK6575 3g, Мобильные телефоны";;;;"sku35227.jpg, sku35227_10_1.jpg, sku35227_1.jpg, sku35227_11_1.jpg, sku35227_5.jpg";"One X";;"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 4";Пластик;450гр;;"4.7 дюйма";"854 x 480 пикселя";TFT;;Есть;полифония/MP3;Есть;"3264 x 2448 пикселей";;"720p HD";3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;;;Есть;;;;;;;"Есть, голосовая навигация";;;;;;;;;;;;;;;;;;"0,3 мегапикселя";;"8,0 мегапикселя";;;512MB;4GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, Cortex A9, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"802.11 b/g/n";;
"Мобильные телефоны/Смартфоны";"S5830 Smart Phone";3700.00;s5830-smart-phone;1;;;;3800.00;;;"S5830 Smart Phone";"S5830 Smart Phone, Chine, Мобильные телефоны";;<ul><li></li></ul>;;"sku35232.jpg, sku35232_3.jpg, sku35232_2.jpg, sku35232_1.jpg";;;"GSM 850/900/1800/1900MHz";"Android 2.3.6";Пластик;;;"3.5 дюйма";"480 x 320 пикселя";"TFT, сенсорный экран";;;полифония/MP3;Есть;;;;3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2.0 мегапикселя";;;;;256Mb;256MB;;;;;;Есть;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6515, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"802.11 b/g/n";;
"Мобильные телефоны/Смартфоны";"X310e Smart Phone MTK6575 ";6720.00;x310e-smart-phone-mtk6575-;1;;;;;;;"X310e Smart Phone MTK6575 ";"X310e Smart Phone MTK6575 , Мобильные телефоны";;;;"sku35143.jpg, sku35143_7.jpg, sku35143_1.jpg, sku35143_8.jpg, sku35143_3.jpg";;X310e;"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 4";Пластик;;;"4.3 дюйма";"540 x 960 пикселя";;"260 тыс.";Есть;полифония/MP3;Есть;;;;3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;Есть;;Есть;;;;WAP/WIFI;;;"Есть, голосовая навигация";;;;;;;;;;;;;;;;;;"0,3 мегапикселя";;"8,0 мегапикселя";;;1GB;1GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Есть;;;
